순위	이름	잔액
1	박민준	783658271.0
2	김서준	647828525.0
3	김도윤	524522186.0
4	이예준	509992688.0
5	이시우	455235303.0
6	문하준	347264836.0
7	최지호	233490409.0
8	김민수	189730830.0
9	이지후	120395829.0
10	박명수	102000000.0
11	백승훈	94671298.0
12	윤준서	93094789.0
13	잔나비	91734959.0
14	박건우	82193892.0
15	유도현	61293892.0
16	최현우	51928932.0
17	김선우	41928932.0
18	이서진	40340403.0
19	차은우	34950925.0
20	이강룡	33017450.0
21	하정우	30000000.0
22	하지원	23959489.0
23	배서율	19302853.0
24	안영재	12349503.0
25	김민주	5303493.0
26	신진호	2324212.0
27	차준혁	0.0
28	송하영	-34495834.0
29	김예림	-59923456.0
30	인준영	-62432424.0
31	이성민	-62581532.0
32	박시연	-73214341.0
33	박수빈	-91077658.0
34	김승우	-113702979.0
35	이강룡	-230114721.0
